Head-to-Head Statistics for naira246
=========================================

Opponent                  |   Total Games |     Wins |     Losses |     Draws |     Win %
-----------------------------------------------------------------------------------------
wizard_king25             |            46 |       25 |         14 |         7 |     54.3%
sydm03307maicom           |            19 |       13 |          4 |         2 |     68.4%
kareemelghool             |            18 |        7 |         10 |         1 |     38.9%
abdallah_fathi_7090       |            17 |        5 |         10 |         2 |     29.4%
sayednaser2003            |            16 |       12 |          2 |         2 |     75.0%
moo_hamza_123             |            16 |       10 |          5 |         1 |     62.5%
1Elmogy1                  |             5 |        2 |          3 |         0 |     40.0%
boutajin                  |             5 |        3 |          2 |         0 |     60.0%
clydewtf                  |             4 |        4 |          0 |         0 |    100.0%
abdelfattahhamdy          |             4 |        4 |          0 |         0 |    100.0%
karamnasser8              |             3 |        2 |          1 |         0 |     66.7%
M_Mohamed55               |             3 |        3 |          0 |         0 |    100.0%
io-2026                   |             3 |        3 |          0 |         0 |    100.0%
hasan4984                 |             3 |        2 |          1 |         0 |     66.7%
The_Chess_Regime09        |             3 |        2 |          0 |         1 |     66.7%
Pawnstorm-67              |             3 |        1 |          2 |         0 |     33.3%
loupiloupi44              |             2 |        2 |          0 |         0 |    100.0%
DangerMan786              |             2 |        2 |          0 |         0 |    100.0%
sogheo                    |             2 |        1 |          1 |         0 |     50.0%
JhonnyChedda              |             2 |        0 |          2 |         0 |      0.0%
hhdfgh                    |             2 |        2 |          0 |         0 |    100.0%
alisananmayo              |             2 |        1 |          1 |         0 |     50.0%
Ahmedabdelkader22         |             2 |        2 |          0 |         0 |    100.0%
engadham24                |             2 |        2 |          0 |         0 |    100.0%
tar0711                   |             2 |        2 |          0 |         0 |    100.0%
khassanov_077             |             2 |        2 |          0 |         0 |    100.0%
Superr_Sayajin            |             2 |        0 |          1 |         1 |      0.0%
Memoomustafa              |             2 |        2 |          0 |         0 |    100.0%
W000LLY                   |             2 |        2 |          0 |         0 |    100.0%
Hyeok-jun-choi13          |             2 |        1 |          1 |         0 |     50.0%
Gaugaugau1                |             2 |        1 |          1 |         0 |     50.0%
Alucard080                |             2 |        2 |          0 |         0 |    100.0%
Hussein_963               |             2 |        2 |          0 |         0 |    100.0%
lbrahimkabo4000           |             2 |        2 |          0 |         0 |    100.0%
MohamedBoraei             |             2 |        1 |          1 |         0 |     50.0%
Abdikerimzde              |             2 |        2 |          0 |         0 |    100.0%
Ahmed-Bassam-abdulkadir   |             2 |        2 |          0 |         0 |    100.0%
Ju7a_Sha6ranji            |             2 |        2 |          0 |         0 |    100.0%
dantescold                |             2 |        1 |          0 |         1 |     50.0%
wadalhaj                  |             2 |        2 |          0 |         0 |    100.0%
hasansaifshuvo            |             2 |        1 |          1 |         0 |     50.0%
AkmalNomozov              |             2 |        0 |          2 |         0 |      0.0%
carlfraser                |             2 |        1 |          1 |         0 |     50.0%
Krris_h_na                |             2 |        1 |          1 |         0 |     50.0%
kiiyura                   |             2 |        0 |          2 |         0 |      0.0%
islam74                   |             2 |        1 |          1 |         0 |     50.0%
geronim0_0                |             2 |        2 |          0 |         0 |    100.0%
MAJIDWAZIR18              |             2 |        1 |          1 |         0 |     50.0%
Islamgemy                 |             2 |        1 |          0 |         1 |     50.0%
Moh7562                   |             2 |        1 |          0 |         1 |     50.0%
Alexis6603                |             1 |        0 |          1 |         0 |      0.0%
tarungowda137779          |             1 |        0 |          1 |         0 |      0.0%
laddermatein2             |             1 |        1 |          0 |         0 |    100.0%
Ramli456                  |             1 |        1 |          0 |         0 |    100.0%
spiderxzi                 |             1 |        1 |          0 |         0 |    100.0%
CEMPhd                    |             1 |        1 |          0 |         0 |    100.0%
lyjcabanag                |             1 |        0 |          1 |         0 |      0.0%
Htommer                   |             1 |        1 |          0 |         0 |    100.0%
Unbrillianted             |             1 |        0 |          1 |         0 |      0.0%
u1359331                  |             1 |        0 |          1 |         0 |      0.0%
ViceLegasus               |             1 |        1 |          0 |         0 |    100.0%
selvathalapathi           |             1 |        0 |          1 |         0 |      0.0%
AknKARAbyk                |             1 |        0 |          1 |         0 |      0.0%
SingularityPawn           |             1 |        0 |          1 |         0 |      0.0%
KainOzgur02               |             1 |        1 |          0 |         0 |    100.0%
Pran623                   |             1 |        1 |          0 |         0 |    100.0%
Wendikus                  |             1 |        1 |          0 |         0 |    100.0%
kingawayy                 |             1 |        1 |          0 |         0 |    100.0%
buluk-gonjales            |             1 |        0 |          1 |         0 |      0.0%
Adam-of-Apple             |             1 |        0 |          1 |         0 |      0.0%
Birushi                   |             1 |        1 |          0 |         0 |    100.0%
NeelSir                   |             1 |        1 |          0 |         0 |    100.0%
rejzuz9087                |             1 |        1 |          0 |         0 |    100.0%
erolali1970               |             1 |        0 |          1 |         0 |      0.0%
laghouati62               |             1 |        1 |          0 |         0 |    100.0%
stoletaJepice             |             1 |        0 |          1 |         0 |      0.0%
dreems2200                |             1 |        0 |          1 |         0 |      0.0%
alexrtct                  |             1 |        1 |          0 |         0 |    100.0%
Azouz_A                   |             1 |        1 |          0 |         0 |    100.0%
ZAY_YA_SOE                |             1 |        1 |          0 |         0 |    100.0%
bockenheimer97            |             1 |        0 |          1 |         0 |      0.0%
vk123420                  |             1 |        0 |          1 |         0 |      0.0%
HunterArun7               |             1 |        1 |          0 |         0 |    100.0%
yashnik11                 |             1 |        1 |          0 |         0 |    100.0%
Abduqayum0909             |             1 |        1 |          0 |         0 |    100.0%
seqht                     |             1 |        1 |          0 |         0 |    100.0%
redcliff33                |             1 |        0 |          1 |         0 |      0.0%
NURIZZ25                  |             1 |        1 |          0 |         0 |    100.0%
Ehsan2333                 |             1 |        0 |          1 |         0 |      0.0%
BishopSalman1             |             1 |        0 |          1 |         0 |      0.0%
Rah-ehsani                |             1 |        1 |          0 |         0 |    100.0%
percdieg                  |             1 |        0 |          1 |         0 |      0.0%
VitamineB4                |             1 |        0 |          1 |         0 |      0.0%
Migueel666                |             1 |        1 |          0 |         0 |    100.0%
duystecu                  |             1 |        1 |          0 |         0 |    100.0%
TjTemuka                  |             1 |        1 |          0 |         0 |    100.0%
JuiceAnLim                |             1 |        0 |          1 |         0 |      0.0%
Faxriyorbek00             |             1 |        0 |          1 |         0 |      0.0%
ChessGoatCharlie          |             1 |        1 |          0 |         0 |    100.0%
Gmoee187                  |             1 |        1 |          0 |         0 |    100.0%
